year,month,dow,sex,count
1998,Feb,Sun,F,15437
1998,Feb,Sun,M,15933
1998,Feb,Mon,F,21218
1998,Feb,Mon,M,22138
1998,Feb,Tue,F,23518
1998,Feb,Tue,M,24460
1998,Feb,Wed,F,22995
1998,Feb,Wed,M,24374
1998,Feb,Thu,F,23261
1998,Feb,Thu,M,24243
1998,Feb,Fri,F,22644
1998,Feb,Fri,M,23584
1998,Feb,Sat,F,17237
1998,Feb,Sat,M,17909
1998,Mar,Sun,F,19025
1998,Mar,Sun,M,19766
1998,Mar,Mon,F,26778
1998,Mar,Mon,M,27696
1998,Mar,Tue,F,29744
1998,Mar,Tue,M,31065
1998,Mar,Wed,F,23112
1998,Mar,Wed,M,24099
1998,Mar,Thu,F,23050
1998,Mar,Thu,M,24624
1998,Mar,Fri,F,22869
1998,Mar,Fri,M,23518
1998,Mar,Sat,F,16713
1998,Mar,Sat,M,17651
1998,Apr,Sun,F,14516
1998,Apr,Sun,M,15406
1998,Apr,Mon,F,21067
1998,Apr,Mon,M,21941
1998,Apr,Tue,F,23862
1998,Apr,Tue,M,25025
1998,Apr,Wed,F,28492
1998,Apr,Wed,M,29726
1998,Apr,Thu,F,28861
1998,Apr,Thu,M,30416
1998,Apr,Fri,F,22533
1998,Apr,Fri,M,23933
1998,Apr,Sat,F,16847
1998,Apr,Sat,M,17406
1998,May,Sun,F,18990
1998,May,Sun,M,20119
1998,May,Mon,F,20230
1998,May,Mon,M,20810
1998,May,Tue,F,23890
1998,May,Tue,M,24953
1998,May,Wed,F,23616
1998,May,Wed,M,24945
1998,May,Thu,F,23943
1998,May,Thu,M,25197
1998,May,Fri,F,29538
1998,May,Fri,M,30818
1998,May,Sat,F,21336
1998,May,Sat,M,22379
1998,Jun,Sun,F,15159
1998,Jun,Sun,M,15982
1998,Jun,Mon,F,26733
1998,Jun,Mon,M,28634
1998,Jun,Tue,F,30004
1998,Jun,Tue,M,31690
1998,Jun,Wed,F,23592
1998,Jun,Wed,M,24652
1998,Jun,Thu,F,23489
1998,Jun,Thu,M,24556
1998,Jun,Fri,F,23151
1998,Jun,Fri,M,24400
1998,Jun,Sat,F,17079
1998,Jun,Sat,M,18261
1998,Jul,Sun,F,15575
1998,Jul,Sun,M,16340
1998,Jul,Mon,F,21928
1998,Jul,Mon,M,23237
1998,Jul,Tue,F,25210
1998,Jul,Tue,M,26239
1998,Jul,Wed,F,30793
1998,Jul,Wed,M,32411
1998,Jul,Thu,F,30590
1998,Jul,Thu,M,31837
1998,Jul,Fri,F,29183
1998,Jul,Fri,M,30451
1998,Jul,Sat,F,17097
1998,Jul,Sat,M,18101
1998,Aug,Sun,F,19845
1998,Aug,Sun,M,20831
1998,Aug,Mon,F,28057
1998,Aug,Mon,M,29495
1998,Aug,Tue,F,25099
1998,Aug,Tue,M,26356
1998,Aug,Wed,F,24263
1998,Aug,Wed,M,25564
1998,Aug,Thu,F,24487
1998,Aug,Thu,M,25643
1998,Aug,Fri,F,24356
1998,Aug,Fri,M,25377
1998,Aug,Sat,F,22246
1998,Aug,Sat,M,23481
1998,Sep,Sun,F,16203
1998,Sep,Sun,M,16958
1998,Sep,Mon,F,21477
1998,Sep,Mon,M,22084
1998,Sep,Tue,F,31122
1998,Sep,Tue,M,32177
1998,Sep,Wed,F,31033
1998,Sep,Wed,M,32588
1998,Sep,Thu,F,25251
1998,Sep,Thu,M,26194
1998,Sep,Fri,F,25062
1998,Sep,Fri,M,26273
1998,Sep,Sat,F,18354
1998,Sep,Sat,M,18980
1998,Oct,Sun,F,15167
1998,Oct,Sun,M,16149
1998,Oct,Mon,F,21486
1998,Oct,Mon,M,22200
1998,Oct,Tue,F,23876
1998,Oct,Tue,M,24935
1998,Oct,Wed,F,23505
1998,Oct,Wed,M,24274
1998,Oct,Thu,F,29459
1998,Oct,Thu,M,30722
1998,Oct,Fri,F,28744
1998,Oct,Fri,M,29975
1998,Oct,Sat,F,20761
1998,Oct,Sat,M,21885
1998,Nov,Sun,F,18786
1998,Nov,Sun,M,19854
1998,Nov,Mon,F,27448
1998,Nov,Mon,M,29081
1998,Nov,Tue,F,24613
1998,Nov,Tue,M,25470
1998,Nov,Wed,F,22743
1998,Nov,Wed,M,23733
1998,Nov,Thu,F,21114
1998,Nov,Thu,M,22310
1998,Nov,Fri,F,21718
1998,Nov,Fri,M,22351
1998,Nov,Sat,F,16964
1998,Nov,Sat,M,17362
1998,Dec,Sun,F,15040
1998,Dec,Sun,M,15688
1998,Dec,Mon,F,22579
1998,Dec,Mon,M,23807
1998,Dec,Tue,F,31533
1998,Dec,Tue,M,32847
1998,Dec,Wed,F,29383
1998,Dec,Wed,M,31204
1998,Dec,Thu,F,27445
1998,Dec,Thu,M,28695
1998,Dec,Fri,F,21146
1998,Dec,Fri,M,21505
1998,Dec,Sat,F,16165
1998,Dec,Sat,M,17211
1999,Jan,Sun,F,18368
1999,Jan,Sun,M,19516
1999,Jan,Mon,F,21045
1999,Jan,Mon,M,21685
1999,Jan,Tue,F,23395
1999,Jan,Tue,M,24567
1999,Jan,Wed,F,22940
1999,Jan,Wed,M,23906
1999,Jan,Thu,F,23154
1999,Jan,Thu,M,24331
1999,Jan,Fri,F,27000
1999,Jan,Fri,M,27932
1999,Jan,Sat,F,20152
1999,Jan,Sat,M,21503
1999,Feb,Sun,F,15106
1999,Feb,Sun,M,15968
1999,Feb,Mon,F,20941
1999,Feb,Mon,M,22228
1999,Feb,Tue,F,23507
1999,Feb,Tue,M,24599
1999,Feb,Wed,F,23232
1999,Feb,Wed,M,24024
1999,Feb,Thu,F,23194
1999,Feb,Thu,M,24368
1999,Feb,Fri,F,22819
1999,Feb,Fri,M,24062
1999,Feb,Sat,F,16373
1999,Feb,Sat,M,17411
1999,Mar,Sun,F,14668
1999,Mar,Sun,M,15460
1999,Mar,Mon,F,26546
1999,Mar,Mon,M,28042
1999,Mar,Tue,F,29546
1999,Mar,Tue,M,31031
1999,Mar,Wed,F,28992
1999,Mar,Wed,M,30412
1999,Mar,Thu,F,23092
1999,Mar,Thu,M,24339
1999,Mar,Fri,F,22893
